Datum-tijd tot,Elektriciteit Consumptie (kWh),weekday
2022-01-01 01:00:00+00:00,48.9,5
2022-01-01 02:00:00+00:00,47.2,5
2022-01-01 03:00:00+00:00,47.1,5
2022-01-01 04:00:00+00:00,47.2,5
2022-01-01 05:00:00+00:00,50.2,5
2022-01-01 06:00:00+00:00,46.5,5
2022-01-01 07:00:00+00:00,46.3,5
2022-01-01 08:00:00+00:00,48.9,5
2022-01-01 09:00:00+00:00,52.0,5
2022-01-01 10:00:00+00:00,49.6,5
2022-01-01 11:00:00+00:00,46.6,5
2022-01-01 12:00:00+00:00,43.5,5
2022-01-01 13:00:00+00:00,44.1,5
2022-01-01 14:00:00+00:00,47.1,5
2022-01-01 15:00:00+00:00,43.5,5
2022-01-01 16:00:00+00:00,44.8,5
2022-01-01 17:00:00+00:00,45.6,5
2022-01-01 18:00:00+00:00,50.5,5
2022-01-01 19:00:00+00:00,49.9,5
2022-01-01 20:00:00+00:00,50.5,5
2022-01-01 21:00:00+00:00,49.2,5
2022-01-01 22:00:00+00:00,50.2,5
2022-01-01 23:00:00+00:00,49.9,5
2022-01-02 00:00:00+00:00,48.4,6
2022-01-02 01:00:00+00:00,43.8,6
2022-01-02 02:00:00+00:00,46.5,6
2022-01-02 03:00:00+00:00,68.7,6
2022-01-02 04:00:00+00:00,44.2,6
2022-01-02 05:00:00+00:00,45.6,6
2022-01-02 06:00:00+00:00,44.7,6
2022-01-02 07:00:00+00:00,43.8,6
2022-01-02 08:00:00+00:00,45.9,6
2022-01-02 09:00:00+00:00,48.1,6
2022-01-02 10:00:00+00:00,49.6,6
2022-01-02 11:00:00+00:00,45.6,6
2022-01-02 12:00:00+00:00,42.6,6
2022-01-02 13:00:00+00:00,41.4,6
2022-01-02 14:00:00+00:00,44.4,6
2022-01-02 15:00:00+00:00,48.1,6
2022-01-02 16:00:00+00:00,47.1,6
2022-01-02 17:00:00+00:00,47.5,6
2022-01-02 18:00:00+00:00,49.9,6
2022-01-02 19:00:00+00:00,55.6,6
2022-01-02 20:00:00+00:00,52.3,6
2022-01-02 21:00:00+00:00,53.0,6
2022-01-02 22:00:00+00:00,49.9,6
2022-01-02 23:00:00+00:00,48.9,6
2022-01-03 00:00:00+00:00,51.2,0
2022-01-03 01:00:00+00:00,48.0,0
2022-01-03 02:00:00+00:00,48.7,0
2022-01-03 03:00:00+00:00,48.0,0
2022-01-03 04:00:00+00:00,50.2,0
2022-01-03 05:00:00+00:00,48.7,0
2022-01-03 06:00:00+00:00,48.1,0
2022-01-03 07:00:00+00:00,56.3,0
2022-01-03 08:00:00+00:00,135.6,0
2022-01-03 09:00:00+00:00,146.3,0
2022-01-03 10:00:00+00:00,136.6,0
2022-01-03 11:00:00+00:00,132.7,0
2022-01-03 12:00:00+00:00,134.1,0
2022-01-03 13:00:00+00:00,131.4,0
2022-01-03 14:00:00+00:00,134.2,0
2022-01-03 15:00:00+00:00,129.9,0
2022-01-03 16:00:00+00:00,134.4,0
2022-01-03 17:00:00+00:00,108.6,0
2022-01-03 18:00:00+00:00,48.1,0
2022-01-03 19:00:00+00:00,49.0,0
2022-01-03 20:00:00+00:00,49.6,0
2022-01-03 21:00:00+00:00,50.2,0
2022-01-03 22:00:00+00:00,47.7,0
2022-01-03 23:00:00+00:00,45.6,0
2022-01-04 00:00:00+00:00,48.2,1
2022-01-04 01:00:00+00:00,44.4,1
2022-01-04 02:00:00+00:00,46.2,1
2022-01-04 03:00:00+00:00,44.1,1
2022-01-04 04:00:00+00:00,48.7,1
2022-01-04 05:00:00+00:00,44.7,1
2022-01-04 06:00:00+00:00,45.3,1
2022-01-04 07:00:00+00:00,74.6,1
2022-01-04 08:00:00+00:00,143.5,1
2022-01-04 09:00:00+00:00,141.5,1
2022-01-04 10:00:00+00:00,144.2,1
2022-01-04 11:00:00+00:00,133.5,1
2022-01-04 12:00:00+00:00,133.6,1
2022-01-04 13:00:00+00:00,135.3,1
2022-01-04 14:00:00+00:00,136.0,1
2022-01-04 15:00:00+00:00,139.0,1
2022-01-04 16:00:00+00:00,131.1,1
2022-01-04 17:00:00+00:00,111.1,1
2022-01-04 18:00:00+00:00,107.7,1
2022-01-04 19:00:00+00:00,55.6,1
2022-01-04 20:00:00+00:00,51.4,1
2022-01-04 21:00:00+00:00,52.4,1
2022-01-04 22:00:00+00:00,48.6,1
2022-01-04 23:00:00+00:00,53.0,1
2022-01-05 00:00:00+00:00,63.9,2
2022-01-05 01:00:00+00:00,54.1,2
2022-01-05 02:00:00+00:00,61.8,2
2022-01-05 03:00:00+00:00,48.0,2
2022-01-05 04:00:00+00:00,49.3,2
2022-01-05 05:00:00+00:00,66.0,2
2022-01-05 06:00:00+00:00,48.7,2
2022-01-05 07:00:00+00:00,77.5,2
2022-01-05 08:00:00+00:00,142.1,2
2022-01-05 09:00:00+00:00,148.2,2
2022-01-05 10:00:00+00:00,147.5,2
2022-01-05 11:00:00+00:00,145.1,2
2022-01-05 12:00:00+00:00,145.1,2
2022-01-05 13:00:00+00:00,148.4,2
2022-01-05 14:00:00+00:00,136.3,2
2022-01-05 15:00:00+00:00,111.4,2
2022-01-05 16:00:00+00:00,104.0,2
2022-01-05 17:00:00+00:00,60.5,2
2022-01-05 18:00:00+00:00,48.7,2
2022-01-05 19:00:00+00:00,52.3,2
2022-01-05 20:00:00+00:00,52.7,2
2022-01-05 21:00:00+00:00,52.9,2
2022-01-05 22:00:00+00:00,51.4,2
2022-01-05 23:00:00+00:00,49.0,2
2022-01-06 00:00:00+00:00,50.2,3
2022-01-06 01:00:00+00:00,47.4,3
2022-01-06 02:00:00+00:00,65.1,3
2022-01-06 03:00:00+00:00,61.1,3
2022-01-06 04:00:00+00:00,48.4,3
2022-01-06 05:00:00+00:00,48.1,3
2022-01-06 06:00:00+00:00,47.4,3
2022-01-06 07:00:00+00:00,64.5,3
2022-01-06 08:00:00+00:00,106.2,3
2022-01-06 09:00:00+00:00,98.6,3
2022-01-06 10:00:00+00:00,118.0,3
2022-01-06 11:00:00+00:00,134.1,3
2022-01-06 12:00:00+00:00,138.7,3
2022-01-06 13:00:00+00:00,136.0,3
2022-01-06 14:00:00+00:00,137.2,3
2022-01-06 15:00:00+00:00,135.4,3
2022-01-06 16:00:00+00:00,119.2,3
2022-01-06 17:00:00+00:00,70.0,3
2022-01-06 18:00:00+00:00,49.6,3
2022-01-06 19:00:00+00:00,51.1,3
2022-01-06 20:00:00+00:00,54.1,3
2022-01-06 21:00:00+00:00,52.4,3
2022-01-06 22:00:00+00:00,51.7,3
2022-01-06 23:00:00+00:00,49.0,3
2022-01-07 00:00:00+00:00,80.0,4
2022-01-07 01:00:00+00:00,54.1,4
2022-01-07 02:00:00+00:00,48.7,4
2022-01-07 03:00:00+00:00,68.4,4
2022-01-07 04:00:00+00:00,52.9,4
2022-01-07 05:00:00+00:00,49.0,4
2022-01-07 06:00:00+00:00,63.0,4
2022-01-07 07:00:00+00:00,78.8,4
2022-01-07 08:00:00+00:00,144.2,4
2022-01-07 09:00:00+00:00,143.2,4
2022-01-07 10:00:00+00:00,144.8,4
2022-01-07 11:00:00+00:00,136.0,4
2022-01-07 12:00:00+00:00,132.4,4
2022-01-07 13:00:00+00:00,135.6,4
2022-01-07 14:00:00+00:00,133.6,4
2022-01-07 15:00:00+00:00,142.6,4
2022-01-07 16:00:00+00:00,138.1,4
2022-01-07 17:00:00+00:00,139.7,4
2022-01-07 18:00:00+00:00,77.8,4
2022-01-07 19:00:00+00:00,53.9,4
2022-01-07 20:00:00+00:00,53.5,4
2022-01-07 21:00:00+00:00,53.3,4
2022-01-07 22:00:00+00:00,52.3,4
2022-01-07 23:00:00+00:00,49.3,4
2022-01-08 00:00:00+00:00,48.7,5
2022-01-08 01:00:00+00:00,51.1,5
2022-01-08 02:00:00+00:00,55.9,5
2022-01-08 03:00:00+00:00,73.3,5
2022-01-08 04:00:00+00:00,49.0,5
2022-01-08 05:00:00+00:00,49.6,5
2022-01-08 06:00:00+00:00,66.3,5
2022-01-08 07:00:00+00:00,52.9,5
2022-01-08 08:00:00+00:00,51.2,5
2022-01-08 09:00:00+00:00,75.4,5
2022-01-08 10:00:00+00:00,53.2,5
2022-01-08 11:00:00+00:00,56.6,5
2022-01-08 12:00:00+00:00,59.3,5
2022-01-08 13:00:00+00:00,46.9,5
2022-01-08 14:00:00+00:00,47.1,5
2022-01-08 15:00:00+00:00,47.8,5
2022-01-08 16:00:00+00:00,48.4,5
2022-01-08 17:00:00+00:00,91.5,5
2022-01-08 18:00:00+00:00,67.6,5
2022-01-08 19:00:00+00:00,71.4,5
2022-01-08 20:00:00+00:00,76.4,5
2022-01-08 21:00:00+00:00,66.9,5
2022-01-08 22:00:00+00:00,66.0,5
2022-01-08 23:00:00+00:00,64.5,5
2022-01-09 00:00:00+00:00,70.9,6
2022-01-09 01:00:00+00:00,73.0,6
2022-01-09 02:00:00+00:00,65.4,6
2022-01-09 03:00:00+00:00,65.4,6
2022-01-09 04:00:00+00:00,65.7,6
2022-01-09 05:00:00+00:00,72.1,6
2022-01-09 06:00:00+00:00,93.1,6
2022-01-09 07:00:00+00:00,48.3,6
2022-01-09 08:00:00+00:00,66.9,6
2022-01-09 09:00:00+00:00,62.1,6
2022-01-09 10:00:00+00:00,63.3,6
2022-01-09 11:00:00+00:00,74.8,6
2022-01-09 12:00:00+00:00,65.1,6
2022-01-09 13:00:00+00:00,59.6,6
2022-01-09 14:00:00+00:00,59.7,6
2022-01-09 15:00:00+00:00,42.8,6
2022-01-09 16:00:00+00:00,43.5,6
2022-01-09 17:00:00+00:00,45.7,6
2022-01-09 18:00:00+00:00,49.9,6
2022-01-09 19:00:00+00:00,82.1,6
2022-01-09 20:00:00+00:00,87.0,6
2022-01-09 21:00:00+00:00,79.4,6
2022-01-09 22:00:00+00:00,78.2,6
2022-01-09 23:00:00+00:00,83.9,6
2022-01-10 00:00:00+00:00,71.9,0
2022-01-10 01:00:00+00:00,85.7,0
2022-01-10 02:00:00+00:00,75.8,0
2022-01-10 03:00:00+00:00,71.2,0
2022-01-10 04:00:00+00:00,79.4,0
2022-01-10 05:00:00+00:00,66.3,0
2022-01-10 06:00:00+00:00,68.1,0
2022-01-10 07:00:00+00:00,152.7,0
2022-01-10 08:00:00+00:00,164.9,0
2022-01-10 09:00:00+00:00,197.1,0
2022-01-10 10:00:00+00:00,238.8,0
2022-01-10 11:00:00+00:00,257.4,0
2022-01-10 12:00:00+00:00,259.199,0
2022-01-10 13:00:00+00:00,257.6,0
2022-01-10 14:00:00+00:00,255.5,0
2022-01-10 15:00:00+00:00,234.0,0
2022-01-10 16:00:00+00:00,204.1,0
2022-01-10 17:00:00+00:00,191.9,0
2022-01-10 18:00:00+00:00,200.8,0
2022-01-10 19:00:00+00:00,207.8,0
2022-01-10 20:00:00+00:00,211.7,0
2022-01-10 21:00:00+00:00,200.5,0
2022-01-10 22:00:00+00:00,190.4,0
2022-01-10 23:00:00+00:00,169.7,0
2022-01-11 00:00:00+00:00,102.3,1
2022-01-11 01:00:00+00:00,72.0,1
2022-01-11 02:00:00+00:00,73.1,1
2022-01-11 03:00:00+00:00,76.3,1
2022-01-11 04:00:00+00:00,94.3,1
2022-01-11 05:00:00+00:00,77.6,1
2022-01-11 06:00:00+00:00,76.6,1
2022-01-11 07:00:00+00:00,161.0,1
2022-01-11 08:00:00+00:00,184.6,1
2022-01-11 09:00:00+00:00,197.1,1
2022-01-11 10:00:00+00:00,220.6,1
2022-01-11 11:00:00+00:00,219.3,1
2022-01-11 12:00:00+00:00,248.499,1
2022-01-11 13:00:00+00:00,235.8,1
2022-01-11 14:00:00+00:00,226.9,1
2022-01-11 15:00:00+00:00,222.7,1
2022-01-11 16:00:00+00:00,193.2,1
2022-01-11 17:00:00+00:00,195.6,1
2022-01-11 18:00:00+00:00,168.2,1
2022-01-11 19:00:00+00:00,175.5,1
2022-01-11 20:00:00+00:00,166.4,1
2022-01-11 21:00:00+00:00,148.5,1
2022-01-11 22:00:00+00:00,60.5,1
2022-01-11 23:00:00+00:00,49.9,1
2022-01-12 00:00:00+00:00,64.2,2
2022-01-12 01:00:00+00:00,56.2,2
2022-01-12 02:00:00+00:00,63.0,2
2022-01-12 03:00:00+00:00,62.1,2
2022-01-12 04:00:00+00:00,59.9,2
2022-01-12 05:00:00+00:00,61.4,2
2022-01-12 06:00:00+00:00,60.0,2
2022-01-12 07:00:00+00:00,149.0,2
2022-01-12 08:00:00+00:00,181.3,2
2022-01-12 09:00:00+00:00,196.8,2
2022-01-12 10:00:00+00:00,236.7,2
2022-01-12 11:00:00+00:00,245.5,2
2022-01-12 12:00:00+00:00,260.7,2
2022-01-12 13:00:00+00:00,256.7,2
2022-01-12 14:00:00+00:00,254.3,2
2022-01-12 15:00:00+00:00,215.4,2
2022-01-12 16:00:00+00:00,223.3,2
2022-01-12 17:00:00+00:00,191.0,2
2022-01-12 18:00:00+00:00,162.2,2
2022-01-12 19:00:00+00:00,196.5,2
2022-01-12 20:00:00+00:00,202.9,2
2022-01-12 21:00:00+00:00,190.1,2
2022-01-12 22:00:00+00:00,174.9,2
2022-01-12 23:00:00+00:00,132.7,2
2022-01-13 00:00:00+00:00,92.8,3
2022-01-13 01:00:00+00:00,64.4,3
2022-01-13 02:00:00+00:00,64.8,3
2022-01-13 03:00:00+00:00,63.6,3
2022-01-13 04:00:00+00:00,65.7,3
2022-01-13 05:00:00+00:00,66.6,3
2022-01-13 06:00:00+00:00,66.1,3
2022-01-13 07:00:00+00:00,140.199,3
2022-01-13 08:00:00+00:00,186.2,3
2022-01-13 09:00:00+00:00,203.5,3
2022-01-13 10:00:00+00:00,233.0,3
2022-01-13 11:00:00+00:00,245.2,3
2022-01-13 12:00:00+00:00,224.5,3
2022-01-13 13:00:00+00:00,245.8,3
2022-01-13 14:00:00+00:00,217.2,3
2022-01-13 15:00:00+00:00,208.9,3
2022-01-13 16:00:00+00:00,204.5,3
2022-01-13 17:00:00+00:00,188.0,3
2022-01-13 18:00:00+00:00,177.6,3
2022-01-13 19:00:00+00:00,157.6,3
2022-01-13 20:00:00+00:00,154.8,3
2022-01-13 21:00:00+00:00,130.5,3
2022-01-13 22:00:00+00:00,80.6,3
2022-01-13 23:00:00+00:00,81.9,3
2022-01-14 00:00:00+00:00,54.8,4
2022-01-14 01:00:00+00:00,64.1,4
2022-01-14 02:00:00+00:00,70.6,4
2022-01-14 03:00:00+00:00,68.5,4
2022-01-14 04:00:00+00:00,66.6,4
2022-01-14 05:00:00+00:00,56.9,4
2022-01-14 06:00:00+00:00,67.2,4
2022-01-14 07:00:00+00:00,147.2,4
2022-01-14 08:00:00+00:00,180.7,4
2022-01-14 09:00:00+00:00,199.9,4
2022-01-14 10:00:00+00:00,228.1,4
2022-01-14 11:00:00+00:00,239.7,4
2022-01-14 12:00:00+00:00,242.2,4
2022-01-14 13:00:00+00:00,202.9,4
2022-01-14 14:00:00+00:00,198.3,4
2022-01-14 15:00:00+00:00,197.1,4
2022-01-14 16:00:00+00:00,182.9,4
2022-01-14 17:00:00+00:00,163.3,4
2022-01-14 18:00:00+00:00,149.7,4
2022-01-14 19:00:00+00:00,124.4,4
2022-01-14 20:00:00+00:00,67.2,4
2022-01-14 21:00:00+00:00,55.1,4
2022-01-14 22:00:00+00:00,49.6,4
2022-01-14 23:00:00+00:00,49.9,4
2022-01-15 00:00:00+00:00,46.9,5
2022-01-15 01:00:00+00:00,48.0,5
2022-01-15 02:00:00+00:00,46.9,5
2022-01-15 03:00:00+00:00,48.9,5
2022-01-15 04:00:00+00:00,49.3,5
2022-01-15 05:00:00+00:00,48.7,5
2022-01-15 06:00:00+00:00,50.2,5
2022-01-15 07:00:00+00:00,50.8,5
2022-01-15 08:00:00+00:00,58.1,5
2022-01-15 09:00:00+00:00,58.1,5
2022-01-15 10:00:00+00:00,53.8,5
2022-01-15 11:00:00+00:00,51.7,5
2022-01-15 12:00:00+00:00,49.6,5
2022-01-15 13:00:00+00:00,49.3,5
2022-01-15 14:00:00+00:00,49.3,5
2022-01-15 15:00:00+00:00,48.1,5
2022-01-15 16:00:00+00:00,52.9,5
2022-01-15 17:00:00+00:00,52.0,5
2022-01-15 18:00:00+00:00,55.7,5
2022-01-15 19:00:00+00:00,58.7,5
2022-01-15 20:00:00+00:00,72.4,5
2022-01-15 21:00:00+00:00,109.2,5
2022-01-15 22:00:00+00:00,54.7,5
2022-01-15 23:00:00+00:00,78.8,5
2022-01-16 00:00:00+00:00,55.4,6
2022-01-16 01:00:00+00:00,55.3,6
2022-01-16 02:00:00+00:00,73.3,6
2022-01-16 03:00:00+00:00,53.0,6
2022-01-16 04:00:00+00:00,73.3,6
2022-01-16 05:00:00+00:00,59.3,6
2022-01-16 06:00:00+00:00,52.3,6
2022-01-16 07:00:00+00:00,77.6,6
2022-01-16 08:00:00+00:00,73.6,6
2022-01-16 09:00:00+00:00,75.7,6
2022-01-16 10:00:00+00:00,71.8,6
2022-01-16 11:00:00+00:00,56.9,6
2022-01-16 12:00:00+00:00,48.1,6
2022-01-16 13:00:00+00:00,46.2,6
2022-01-16 14:00:00+00:00,46.6,6
2022-01-16 15:00:00+00:00,48.3,6
2022-01-16 16:00:00+00:00,48.1,6
2022-01-16 17:00:00+00:00,49.3,6
2022-01-16 18:00:00+00:00,56.9,6
2022-01-16 19:00:00+00:00,57.5,6
2022-01-16 20:00:00+00:00,87.3,6
2022-01-16 21:00:00+00:00,57.8,6
2022-01-16 22:00:00+00:00,52.6,6
2022-01-16 23:00:00+00:00,78.2,6
2022-01-17 00:00:00+00:00,65.7,0
2022-01-17 01:00:00+00:00,65.0,0
2022-01-17 02:00:00+00:00,67.9,0
2022-01-17 03:00:00+00:00,80.0,0
2022-01-17 04:00:00+00:00,70.6,0
2022-01-17 05:00:00+00:00,72.7,0
2022-01-17 06:00:00+00:00,74.8,0
2022-01-17 07:00:00+00:00,139.3,0
2022-01-17 08:00:00+00:00,171.6,0
2022-01-17 09:00:00+00:00,212.0,0
2022-01-17 10:00:00+00:00,257.099,0
2022-01-17 11:00:00+00:00,277.4,0
2022-01-17 12:00:00+00:00,261.599,0
2022-01-17 13:00:00+00:00,261.6,0
2022-01-17 14:00:00+00:00,262.199,0
2022-01-17 15:00:00+00:00,241.0,0
2022-01-17 16:00:00+00:00,209.6,0
2022-01-17 17:00:00+00:00,225.4,0
2022-01-17 18:00:00+00:00,181.6,0
2022-01-17 19:00:00+00:00,203.2,0
2022-01-17 20:00:00+00:00,197.1,0
2022-01-17 21:00:00+00:00,184.7,0
2022-01-17 22:00:00+00:00,164.5,0
2022-01-17 23:00:00+00:00,145.4,0
2022-01-18 00:00:00+00:00,69.8,1
2022-01-18 01:00:00+00:00,50.1,1
2022-01-18 02:00:00+00:00,47.8,1
2022-01-18 03:00:00+00:00,50.8,1
2022-01-18 04:00:00+00:00,51.1,1
2022-01-18 05:00:00+00:00,49.3,1
2022-01-18 06:00:00+00:00,53.8,1
2022-01-18 07:00:00+00:00,135.4,1
2022-01-18 08:00:00+00:00,184.3,1
2022-01-18 09:00:00+00:00,222.7,1
2022-01-18 10:00:00+00:00,263.8,1
2022-01-18 11:00:00+00:00,279.2,1
2022-01-18 12:00:00+00:00,282.3,1
2022-01-18 13:00:00+00:00,276.8,1
2022-01-18 14:00:00+00:00,272.6,1
2022-01-18 15:00:00+00:00,242.8,1
2022-01-18 16:00:00+00:00,252.7,1
2022-01-18 17:00:00+00:00,202.9,1
2022-01-18 18:00:00+00:00,189.6,1
2022-01-18 19:00:00+00:00,203.2,1
2022-01-18 20:00:00+00:00,142.6,1
2022-01-18 21:00:00+00:00,156.4,1
2022-01-18 22:00:00+00:00,63.9,1
